EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001022,44,Male,Medical,Single,Development,Developer,Non-Travel,24,3,1,49,1,1,3,1.0986122886681098,No,14,3,2.302585092994046,1.791759469228055,3,1.791759469228055,1.0986122886681098,0.6931471805599453,1.6094379124341003,No,1.0986122886681098
E1001024,47,Female,Medical,Divorced,Sales,Sales Executive,Travel_Frequently,3,3,4,49,3,4,3,2.302585092994046,Yes,12,4,3.367295829986474,1.0986122886681098,2,3.1354942159291497,1.0986122886681098,2.4849066497880004,2.6390573296152584,No,1.0986122886681098
E1001025,30,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,27,5,3,99,3,2,4,2.0794415416798357,No,23,4,2.3978952727983707,1.0986122886681098,2,2.1972245773362196,2.0794415416798357,2.0794415416798357,2.0794415416798357,No,1.3862943611198906
E1001027,29,Male,Life Sciences,Single,Sales,Sales Representative,Travel_Rarely,10,3,3,99,3,1,3,0.6931471805599453,No,11,3,0.6931471805599453,1.9459101490553132,3,0.6931471805599453,0.0,0.0,0.0,No,1.0986122886681098
E1001030,42,Male,Medical,Divorced,Development,Developer,Travel_Frequently,19,3,3,57,4,1,3,1.9459101490553132,Yes,12,4,2.0794415416798357,1.0986122886681098,3,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,Yes,1.0986122886681098
E1001035,34,Female,Medical,Single,Development,Developer,Travel_Rarely,8,2,2,96,3,2,3,1.3862943611198906,No,11,4,2.3978952727983707,1.0986122886681098,3,1.791759469228055,0.6931471805599453,1.6094379124341003,1.3862943611198906,No,1.0986122886681098
E1001038,39,Female,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,3,3,3,44,4,2,2,2.302585092994046,No,15,3,2.5649493574615367,1.3862943611198906,1,2.1972245773362196,1.3862943611198906,1.3862943611198906,1.9459101490553132,No,1.0986122886681098
E1001040,56,Male,Medical,Married,Development,Developer,Travel_Rarely,9,3,3,81,3,4,4,2.0794415416798357,No,11,3,3.4339872044851463,0.6931471805599453,2,2.3978952727983707,2.0794415416798357,0.6931471805599453,0.6931471805599453,No,1.0986122886681098
E1001041,40,Female,Medical,Single,Development,Developer,Travel_Rarely,2,1,4,86,2,1,4,0.0,Yes,20,4,1.791759469228055,1.0986122886681098,2,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.3862943611198906,No,1.3862943611198906
E1001042,27,Female,Medical,Single,Development,Developer,Travel_Rarely,7,3,4,55,2,2,1,2.1972245773362196,No,19,1,2.302585092994046,1.0986122886681098,1,2.0794415416798357,1.9459101490553132,0.0,2.0794415416798357,No,1.0986122886681098
E1001044,29,Male,Marketing,Divorced,Sales,Sales Representative,Travel_Rarely,10,3,4,83,3,1,2,0.6931471805599453,No,14,4,1.0986122886681098,1.0986122886681098,3,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001047,53,Male,Life Sciences,Single,Development,Developer,Travel_Rarely,6,3,4,86,3,2,4,1.0986122886681098,No,17,4,2.995732273553991,1.6094379124341003,3,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001049,35,Female,Life Sciences,Divorced,Development,Senior Developer,Non-Travel,2,4,4,61,3,2,1,1.0986122886681098,No,11,1,2.833213344056216,1.0986122886681098,4,0.6931471805599453,0.0,0.0,0.0,No,1.0986122886681098
E1001050,32,Male,Life Sciences,Married,Development,Developer,Travel_Frequently,24,4,1,80,3,2,4,0.6931471805599453,No,15,4,2.3978952727983707,1.0986122886681098,3,2.3978952727983707,2.1972245773362196,1.6094379124341003,2.0794415416798357,No,1.0986122886681098
E1001053,34,Female,Life Sciences,Divorced,Development,Developer,Travel_Rarely,8,5,2,32,3,2,1,1.3862943611198906,No,14,3,2.0794415416798357,1.3862943611198906,3,0.0,0.0,0.0,0.0,No,1.0986122886681098
E1001054,52,Male,Marketing,Married,Sales,Manager,Travel_Rarely,3,4,3,31,2,4,1,0.6931471805599453,No,11,1,3.5553480614894135,1.3862943611198906,4,3.5553480614894135,1.9459101490553132,0.6931471805599453,2.833213344056216,No,1.3862943611198906
E1001058,33,Male,Other,Single,Development,Developer,Travel_Rarely,1,4,4,63,3,1,4,0.6931471805599453,Yes,13,3,2.3978952727983707,1.0986122886681098,2,2.3978952727983707,2.302585092994046,2.0794415416798357,2.1972245773362196,Yes,1.0986122886681098
E1001059,25,Female,Medical,Single,Sales,Sales Executive,Travel_Rarely,26,1,3,32,3,2,4,0.6931471805599453,No,23,2,1.9459101490553132,1.791759469228055,2,1.9459101490553132,1.791759469228055,0.6931471805599453,1.6094379124341003,No,1.3862943611198906
E1001061,45,Male,Technical Degree,Single,Sales,Sales Representative,Travel_Rarely,2,2,2,46,1,2,3,0.0,No,13,1,2.302585092994046,1.3862943611198906,3,2.1972245773362196,2.0794415416798357,1.3862943611198906,0.6931471805599453,No,1.0986122886681098
E1001062,23,Male,Medical,Single,Development,Developer,Travel_Rarely,10,1,1,79,4,1,3,0.6931471805599453,No,18,4,1.0986122886681098,1.3862943611198906,3,1.0986122886681098,1.0986122886681098,0.0,1.0986122886681098,No,1.0986122886681098
E1001063,47,Female,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,27,2,2,77,4,2,3,1.6094379124341003,Yes,12,4,2.1972245773362196,1.0986122886681098,3,1.791759469228055,1.6094379124341003,0.6931471805599453,1.3862943611198906,Yes,1.0986122886681098
E1001064,34,Male,Other,Single,Sales,Sales Executive,Travel_Rarely,2,3,4,60,3,2,4,0.6931471805599453,No,22,3,1.9459101490553132,1.791759469228055,3,1.9459101490553132,1.791759469228055,0.6931471805599453,1.6094379124341003,No,1.3862943611198906
E1001067,36,Male,Life Sciences,Single,Sales,Sales Executive,Non-Travel,8,4,1,76,2,3,1,0.6931471805599453,No,15,2,2.3978952727983707,0.6931471805599453,3,2.3978952727983707,2.0794415416798357,0.0,2.302585092994046,No,1.0986122886681098
E1001069,52,Male,Medical,Married,Development,Developer,Non-Travel,19,4,4,41,3,1,4,0.0,No,18,1,1.791759469228055,1.3862943611198906,3,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.0986122886681098,No,1.0986122886681098
E1001070,26,Female,Life Sciences,Divorced,Development,Developer,Travel_Frequently,1,2,1,71,1,1,4,1.3862943611198906,No,14,1,1.791759469228055,1.0986122886681098,3,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,No,1.0986122886681098
E1001071,29,Female,Medical,Married,Development,Developer,Travel_Rarely,27,3,2,66,3,2,3,1.6094379124341003,No,12,1,2.4849066497880004,1.3862943611198906,2,2.1972245773362196,2.0794415416798357,0.6931471805599453,0.6931471805599453,No,1.0986122886681098
E1001074,26,Male,Technical Degree,Single,Sales,Sales Executive,Travel_Rarely,8,3,4,38,2,2,1,1.9459101490553132,No,17,3,1.9459101490553132,1.0986122886681098,2,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.0986122886681098,Yes,1.0986122886681098
E1001075,34,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,1,4,2,72,4,1,4,1.0986122886681098,No,16,3,2.3978952727983707,1.0986122886681098,3,1.6094379124341003,1.0986122886681098,0.6931471805599453,1.3862943611198906,No,1.0986122886681098
E1001077,54,Female,Medical,Divorced,Development,Developer,Travel_Rarely,19,4,4,95,3,2,1,2.302585092994046,Yes,11,2,2.302585092994046,1.6094379124341003,3,1.791759469228055,1.3862943611198906,0.6931471805599453,1.6094379124341003,No,1.0986122886681098
E1001078,27,Male,Marketing,Married,Sales,Sales Executive,Travel_Frequently,8,1,3,84,3,2,4,0.0,No,19,2,1.791759469228055,1.3862943611198906,3,1.6094379124341003,1.0986122886681098,0.6931471805599453,0.6931471805599453,No,1.0986122886681098
E1001080,37,Female,Life Sciences,Divorced,Development,Developer,Travel_Rarely,10,1,4,82,3,1,1,0.0,Yes,13,2,1.9459101490553132,1.3862943611198906,2,1.791759469228055,1.3862943611198906,1.6094379124341003,1.3862943611198906,No,1.0986122886681098
E1001081,38,Female,Life Sciences,Single,Development,Developer,Travel_Frequently,2,4,1,75,4,2,1,1.9459101490553132,Yes,12,4,2.8903717578961645,1.0986122886681098,3,2.772588722239781,2.0794415416798357,1.6094379124341003,2.5649493574615367,No,1.0986122886681098
E1001082,34,Female,Medical,Single,Development,Developer,Travel_Rarely,2,4,3,86,2,1,1,0.6931471805599453,No,11,3,1.9459101490553132,1.3862943611198906,3,1.9459101490553132,1.791759469228055,0.6931471805599453,1.3862943611198906,No,1.0986122886681098
E1001083,35,Female,Life Sciences,Married,Sales,Sales Representative,Travel_Rarely,8,4,1,72,3,1,4,0.6931471805599453,No,16,2,1.3862943611198906,0.6931471805599453,2,1.3862943611198906,1.0986122886681098,0.0,1.0986122886681098,No,1.0986122886681098
E1001085,40,Female,Medical,Married,Development,Developer,Travel_Frequently,2,2,3,38,4,2,2,0.6931471805599453,No,24,4,2.1972245773362196,1.0986122886681098,3,2.1972245773362196,2.0794415416798357,1.3862943611198906,2.0794415416798357,No,1.3862943611198906
E1001086,34,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,8,2,3,93,3,2,1,1.791759469228055,No,17,2,1.9459101490553132,0.6931471805599453,3,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.0986122886681098,No,1.0986122886681098
E1001090,24,Male,Life Sciences,Divorced,Development,Senior Developer,Non-Travel,9,3,3,60,2,1,2,0.6931471805599453,No,11,3,0.6931471805599453,1.6094379124341003,3,0.6931471805599453,0.0,0.0,0.0,No,1.0986122886681098
E1001091,52,Female,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,11,4,4,82,3,2,3,2.1972245773362196,No,20,2,2.302585092994046,1.3862943611198906,3,1.791759469228055,1.0986122886681098,0.6931471805599453,1.6094379124341003,No,1.3862943611198906
E1001093,50,Male,Medical,Married,Development,Developer,Travel_Rarely,2,3,3,64,3,4,3,1.791759469228055,No,16,4,3.4339872044851463,1.3862943611198906,3,1.6094379124341003,1.3862943611198906,0.0,1.3862943611198906,No,1.0986122886681098
E1001094,29,Female,Life Sciences,Married,Development,Developer,Travel_Rarely,1,2,2,36,2,1,1,0.6931471805599453,Yes,11,4,0.6931471805599453,0.6931471805599453,3,0.6931471805599453,0.0,0.0,0.0,Yes,1.0986122886681098
E1001095,33,Male,Medical,Married,Development,Developer,Travel_Rarely,7,3,3,49,3,3,3,0.0,No,11,4,2.70805020110221,1.3862943611198906,4,2.6390573296152584,2.302585092994046,1.3862943611198906,2.0794415416798357,No,1.0986122886681098
E1001097,33,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,16,3,1,69,3,2,1,1.791759469228055,No,15,3,1.9459101490553132,1.3862943611198906,3,1.3862943611198906,1.0986122886681098,0.0,1.0986122886681098,Yes,1.0986122886681098
E1001098,47,Female,Other,Married,Development,Developer,Travel_Rarely,2,2,3,33,3,4,4,0.6931471805599453,Yes,11,3,3.295836866004329,1.3862943611198906,2,3.295836866004329,2.70805020110221,1.3862943611198906,0.0,No,1.0986122886681098
E1001101,36,Female,Other,Married,Development,Developer,Travel_Rarely,1,3,3,35,3,2,2,0.0,No,15,1,2.3978952727983707,1.0986122886681098,3,2.302585092994046,2.0794415416798357,0.0,1.791759469228055,No,1.0986122886681098
E1001102,29,Male,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,23,2,3,81,4,1,3,0.6931471805599453,No,24,3,2.3978952727983707,1.3862943611198906,3,2.3978952727983707,2.0794415416798357,0.0,2.0794415416798357,No,1.3862943611198906
E1001104,35,Female,Life Sciences,Single,Development,Senior Developer,Travel_Rarely,1,4,4,40,4,1,3,1.3862943611198906,No,13,3,2.0794415416798357,0.0,3,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001105,42,Female,Life Sciences,Married,Development,Developer,Travel_Rarely,1,2,4,43,2,2,4,2.302585092994046,Yes,13,4,2.1972245773362196,1.6094379124341003,3,1.6094379124341003,1.3862943611198906,0.0,1.0986122886681098,No,1.0986122886681098
E1001106,28,Male,Medical,Single,Development,Developer,Travel_Rarely,2,4,3,46,3,1,3,1.9459101490553132,No,17,4,1.791759469228055,1.3862943611198906,2,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453,Yes,1.0986122886681098
E1001107,36,Male,Human Resources,Married,Human Resources,Human Resources,Travel_Rarely,13,3,3,36,3,1,2,1.6094379124341003,No,13,2,2.1972245773362196,1.0986122886681098,3,1.791759469228055,1.0986122886681098,0.0,1.6094379124341003,No,1.0986122886681098
E1001110,40,Male,Medical,Single,Development,Developer,Travel_Frequently,16,4,1,51,2,2,3,1.9459101490553132,No,14,4,2.3978952727983707,1.9459101490553132,3,0.6931471805599453,0.0,0.0,0.0,No,1.0986122886681098
E1001111,30,Female,Medical,Single,Development,Developer,Travel_Rarely,2,3,3,52,2,2,4,1.791759469228055,Yes,24,2,2.5649493574615367,1.6094379124341003,2,0.0,0.0,0.0,0.0,No,1.3862943611198906
E1001112,45,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,2,3,2,95,2,1,3,0.6931471805599453,No,14,4,0.6931471805599453,1.3862943611198906,3,0.6931471805599453,0.0,0.0,0.0,No,1.0986122886681098
E1001114,42,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,29,3,2,98,3,2,2,0.6931471805599453,No,13,4,2.3978952727983707,1.3862943611198906,2,2.302585092994046,2.1972245773362196,2.0794415416798357,2.1972245773362196,No,1.0986122886681098
E1001115,38,Male,Life Sciences,Divorced,Development,Developer,Travel_Frequently,12,3,1,45,2,2,1,1.0986122886681098,No,15,3,2.6390573296152584,1.3862943611198906,2,1.6094379124341003,1.3862943611198906,0.6931471805599453,1.0986122886681098,No,1.0986122886681098
E1001118,49,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,11,3,3,43,3,3,4,0.6931471805599453,No,18,1,2.302585092994046,1.3862943611198906,4,2.302585092994046,2.1972245773362196,2.0794415416798357,2.0794415416798357,Yes,1.0986122886681098
E1001120,55,Male,Medical,Single,Sales,Sales Executive,Travel_Rarely,2,1,3,37,3,2,4,1.6094379124341003,No,16,3,2.5649493574615367,1.3862943611198906,2,2.302585092994046,2.0794415416798357,2.0794415416798357,1.3862943611198906,Yes,1.0986122886681098
E1001121,43,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,14,2,2,94,3,4,1,1.9459101490553132,No,24,3,3.1354942159291497,1.3862943611198906,3,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.0,No,1.0986122886681098
E1001122,27,Male,Technical Degree,Divorced,Development,Developer,Travel_Rarely,5,1,3,42,2,3,4,0.6931471805599453,Yes,16,2,2.302585092994046,1.3862943611198906,3,2.302585092994046,2.1972245773362196,0.0,2.1972245773362196,No,1.0986122886681098
E1001123,35,Male,Other,Single,Development,Developer,Travel_Rarely,7,3,3,59,3,3,3,1.3862943611198906,No,21,2,2.8903717578961645,1.3862943611198906,4,2.1972245773362196,1.791759469228055,0.6931471805599453,1.9459101490553132,No,1.3862943611198906
E1001124,28,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,2,4,2,81,3,2,2,0.6931471805599453,Yes,20,1,2.1972245773362196,1.0986122886681098,3,2.1972245773362196,2.0794415416798357,2.0794415416798357,1.791759469228055,No,1.0986122886681098
E1001126,26,Female,Medical,Married,Development,Developer,Travel_Frequently,5,2,3,88,2,1,3,0.6931471805599453,Yes,14,1,2.1972245773362196,1.0986122886681098,3,2.1972245773362196,2.0794415416798357,0.6931471805599453,2.0794415416798357,Yes,1.0986122886681098
E1001128,27,Male,Medical,Married,Development,Developer,Non-Travel,3,3,4,50,3,1,4,0.6931471805599453,No,11,3,0.0,1.9459101490553132,2,0.0,0.0,0.0,0.0,No,1.0986122886681098
E1001129,51,Female,Marketing,Married,Sales,Manager,Travel_Rarely,26,4,1,66,3,4,3,1.0986122886681098,No,14,3,3.4011973816621555,1.0986122886681098,2,3.044522437723423,1.9459101490553132,1.6094379124341003,2.8903717578961645,No,1.0986122886681098
E1001130,44,Male,Medical,Single,Development,Developer,Travel_Rarely,4,3,4,50,3,2,2,2.302585092994046,No,12,4,2.3978952727983707,1.0986122886681098,2,1.791759469228055,1.0986122886681098,1.0986122886681098,1.3862943611198906,No,1.0986122886681098
E1001132,25,Male,Medical,Single,Development,Developer,Travel_Rarely,2,1,1,65,4,1,1,2.0794415416798357,No,13,3,1.9459101490553132,1.3862943611198906,2,1.6094379124341003,1.3862943611198906,0.0,0.6931471805599453,No,1.0986122886681098
E1001134,35,Female,Medical,Single,Development,Senior Developer,Travel_Rarely,27,1,3,53,2,1,1,0.6931471805599453,No,11,4,1.9459101490553132,1.3862943611198906,2,1.9459101490553132,1.791759469228055,0.6931471805599453,0.6931471805599453,No,1.0986122886681098
E1001135,36,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,1,2,2,56,3,2,4,0.6931471805599453,Yes,14,4,2.9444389791664403,0.6931471805599453,2,2.9444389791664403,2.70805020110221,1.6094379124341003,2.4849066497880004,No,1.0986122886681098
E1001140,53,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,7,2,1,78,2,3,4,2.0794415416798357,Yes,18,4,3.58351893845611,1.3862943611198906,3,1.791759469228055,1.0986122886681098,0.0,1.6094379124341003,No,1.0986122886681098
E1001142,45,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,9,3,4,74,3,3,1,1.6094379124341003,Yes,12,3,2.9444389791664403,1.0986122886681098,3,1.791759469228055,1.6094379124341003,0.0,1.0986122886681098,No,1.0986122886681098
E1001143,32,Female,Medical,Married,Development,Developer,Travel_Rarely,8,2,3,91,4,2,3,1.791759469228055,No,12,3,2.302585092994046,1.3862943611198906,2,1.791759469228055,1.3862943611198906,0.6931471805599453,1.3862943611198906,No,1.0986122886681098
E1001146,37,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,16,4,4,66,2,2,3,1.6094379124341003,No,19,4,2.302585092994046,1.0986122886681098,3,0.6931471805599453,0.0,0.0,0.0,No,1.0986122886681098
E1001147,28,Male,Medical,Divorced,Human Resources,Human Resources,Travel_Rarely,8,2,2,63,2,1,4,0.6931471805599453,No,13,4,1.9459101490553132,1.9459101490553132,3,1.791759469228055,0.6931471805599453,0.0,1.6094379124341003,No,1.0986122886681098
E1001150,22,Male,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,1,2,4,33,2,2,4,1.9459101490553132,No,22,1,1.6094379124341003,1.0986122886681098,1,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001152,44,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,8,4,1,62,4,1,4,1.0986122886681098,Yes,24,3,2.3978952727983707,1.0986122886681098,2,1.3862943611198906,1.0986122886681098,0.0,1.0986122886681098,No,1.0986122886681098
E1001153,42,Male,Medical,Single,Development,Senior Developer,Travel_Frequently,2,1,2,35,3,1,4,1.791759469228055,Yes,14,4,2.1972245773362196,1.0986122886681098,3,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001156,36,Male,Life Sciences,Married,Human Resources,Human Resources,Travel_Rarely,8,3,1,77,2,1,1,0.0,No,21,3,1.9459101490553132,1.3862943611198906,3,1.791759469228055,1.6094379124341003,0.0,1.3862943611198906,No,1.0986122886681098
E1001157,25,Male,Other,Married,Sales,Sales Executive,Travel_Rarely,3,1,3,98,3,2,1,0.6931471805599453,Yes,18,4,1.791759469228055,1.3862943611198906,3,1.791759469228055,1.3862943611198906,0.0,1.3862943611198906,No,1.0986122886681098
E1001159,35,Female,Life Sciences,Divorced,Development,Developer,Travel_Frequently,25,4,4,96,3,1,2,0.6931471805599453,Yes,19,1,2.3978952727983707,1.3862943611198906,2,2.3978952727983707,1.0986122886681098,2.0794415416798357,2.1972245773362196,Yes,1.0986122886681098
E1001160,32,Male,Life Sciences,Divorced,Development,Developer,Non-Travel,1,3,4,61,3,1,4,0.0,No,12,2,1.6094379124341003,1.0986122886681098,3,1.3862943611198906,0.0,0.0,1.0986122886681098,No,1.0986122886681098
E1001165,49,Female,Technical Degree,Married,Data Science,Data Scientist,Travel_Rarely,1,3,3,36,3,1,1,1.0986122886681098,No,16,2,2.0794415416798357,1.0986122886681098,3,1.6094379124341003,1.0986122886681098,0.0,1.0986122886681098,No,1.0986122886681098
E1001166,24,Male,Life Sciences,Married,Development,Senior Developer,Non-Travel,4,1,1,46,2,1,4,0.0,No,17,4,1.9459101490553132,1.0986122886681098,2,1.791759469228055,1.0986122886681098,1.3862943611198906,1.6094379124341003,No,1.0986122886681098
E1001167,32,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5,2,2,48,3,2,2,0.6931471805599453,No,14,4,2.3978952727983707,1.3862943611198906,3,2.3978952727983707,2.1972245773362196,1.791759469228055,1.3862943611198906,No,1.0986122886681098
E1001171,38,Male,Marketing,Married,Sales,Sales Representative,Travel_Rarely,9,3,2,98,2,1,2,0.0,No,19,4,1.3862943611198906,1.3862943611198906,3,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.0986122886681098,No,1.0986122886681098
E1001173,31,Male,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,11,4,4,48,3,1,4,1.3862943611198906,Yes,19,2,2.1972245773362196,1.0986122886681098,3,1.9459101490553132,1.6094379124341003,0.0,1.0986122886681098,No,1.0986122886681098
E1001175,53,Male,Marketing,Married,Sales,Sales Executive,Travel_Rarely,8,3,1,73,3,4,4,1.791759469228055,No,14,3,3.367295829986474,1.3862943611198906,3,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001178,37,Female,Medical,Married,Sales,Sales Representative,Travel_Frequently,21,2,3,54,3,1,4,1.791759469228055,No,15,2,2.3978952727983707,1.3862943611198906,3,1.791759469228055,1.6094379124341003,0.0,0.0,No,1.0986122886681098
E1001179,53,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,23,4,4,72,3,4,4,1.9459101490553132,No,18,3,3.5263605246161616,0.0,3,2.5649493574615367,2.302585092994046,1.3862943611198906,2.1972245773362196,No,1.0986122886681098
E1001180,43,Female,Life Sciences,Married,Development,Developer,Travel_Frequently,1,3,4,33,3,2,4,1.6094379124341003,No,13,2,2.5649493574615367,1.0986122886681098,2,1.791759469228055,1.0986122886681098,1.0986122886681098,1.0986122886681098,No,1.0986122886681098
E1001181,47,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,2,2,3,35,3,2,4,0.0,Yes,22,1,2.1972245773362196,1.0986122886681098,3,2.0794415416798357,1.9459101490553132,2.0794415416798357,2.0794415416798357,No,1.3862943611198906
E1001182,37,Male,Medical,Single,Sales,Sales Executive,Non-Travel,19,2,1,32,3,3,2,0.6931471805599453,Yes,13,4,2.3978952727983707,1.0986122886681098,3,2.3978952727983707,0.0,0.0,2.302585092994046,No,1.0986122886681098
E1001183,50,Male,Life Sciences,Divorced,Development,Developer,Non-Travel,2,4,1,98,3,4,1,0.6931471805599453,No,11,4,3.4657359027997265,1.3862943611198906,3,3.4657359027997265,1.9459101490553132,2.70805020110221,2.0794415416798357,No,1.0986122886681098
E1001187,39,Female,Life Sciences,Married,Human Resources,Human Resources,Travel_Rarely,2,3,4,42,2,2,4,2.1972245773362196,No,11,3,2.6390573296152584,1.0986122886681098,3,1.791759469228055,1.6094379124341003,0.0,1.6094379124341003,No,1.0986122886681098
E1001188,33,Male,Human Resources,Divorced,Human Resources,Human Resources,Travel_Rarely,3,2,4,57,3,1,2,1.3862943611198906,Yes,11,3,2.0794415416798357,1.6094379124341003,4,1.6094379124341003,1.3862943611198906,0.0,1.3862943611198906,No,1.0986122886681098
E1001189,32,Male,Life Sciences,Single,Development,Developer,Travel_Rarely,25,4,1,87,3,1,4,0.6931471805599453,Yes,24,3,0.6931471805599453,1.0986122886681098,1,0.6931471805599453,0.0,0.0,0.6931471805599453,Yes,1.0986122886681098
